Report Target;Ticket Date Create Day Label;Ticket Date Create Month Id;IWM Incident Count;IWM Request Count;IWM Change Count;IWM Problem Count
BARCHART;2018-06-14;2018M06;93;21;4;5
BARCHART;2018-06-13;2018M06;93;33;3;6
BARCHART;2018-06-12;2018M06;81;17;3;5
BARCHART;2018-06-11;2018M06;78;17;3;1
BARCHART;2018-06-10;2018M06;12;8;0;0
BARCHART;2018-06-09;2018M06;1;4;0;0
BARCHART;2018-06-08;2018M06;73;36;2;3
BARCHART;2018-06-07;2018M06;75;30;1;0
BARCHART;2018-06-06;2018M06;67;81;4;2
BARCHART;2018-06-05;2018M06;67;40;3;1
BARCHART;2018-06-04;2018M06;65;19;7;8
BARCHART;2018-06-03;2018M06;5;4;0;0
BARCHART;2018-06-02;2018M06;4;0;0;0
BARCHART;2018-06-01;2018M06;54;21;4;1
BARCHART;2018-05-31;2018M05;58;30;2;0
BARCHART;2018-05-30;2018M05;67;16;6;4
BARCHART;2018-05-29;2018M05;99;28;3;0
BARCHART;2018-05-28;2018M05;77;21;4;4
BARCHART;2018-05-27;2018M05;15;10;0;0
BARCHART;2018-05-26;2018M05;1;0;0;0
BARCHART;2018-05-25;2018M05;58;38;3;3
BARCHART;2018-05-24;2018M05;87;20;4;5
BARCHART;2018-05-23;2018M05;81;43;3;0
BARCHART;2018-05-22;2018M05;100;30;5;4
BARCHART;2018-05-21;2018M05;41;25;1;0
BARCHART;2018-05-20;2018M05;13;3;0;0
BARCHART;2018-05-19;2018M05;1;0;0;0
BARCHART;2018-05-18;2018M05;81;26;4;6
BARCHART;2018-05-17;2018M05;89;27;2;1
BARCHART;2018-05-16;2018M05;103;27;3;0
BARCHART;2018-05-15;2018M05;78;34;3;0
BARCHART;2018-05-14;2018M05;77;21;3;1
BARCHART;2018-05-13;2018M05;14;12;0;0
BARCHART;2018-05-12;2018M05;0;1;0;0
BARCHART;2018-05-11;2018M05;96;21;3;5
BARCHART;2018-05-10;2018M05;50;34;1;0
BARCHART;2018-05-09;2018M05;64;24;4;5
BARCHART;2018-05-08;2018M05;70;24;3;0
BARCHART;2018-05-07;2018M05;98;34;13;1
BARCHART;2018-05-06;2018M05;15;1;0;0
BARCHART;2018-05-05;2018M05;4;1;0;0
BARCHART;2018-05-04;2018M05;58;25;2;5
BARCHART;2018-05-03;2018M05;74;29;4;4
BARCHART;2018-05-02;2018M05;67;40;3;0
BARCHART;2018-05-01;2018M05;19;5;0;0
BARCHART;2018-04-30;2018M04;56;20;2;0
BARCHART;2018-04-29;2018M04;30;4;0;0
BARCHART;2018-04-28;2018M04;39;3;0;0
BARCHART;2018-04-27;2018M04;79;34;2;2
BARCHART;2018-04-26;2018M04;123;38;1;1
BARCHART;2018-04-25;2018M04;63;32;0;5
BARCHART;2018-04-24;2018M04;62;44;0;3
BARCHART;2018-04-23;2018M04;72;23;3;1
BARCHART;2018-04-22;2018M04;15;12;0;0
BARCHART;2018-04-21;2018M04;20;3;0;0
BARCHART;2018-04-20;2018M04;79;41;5;4
BARCHART;2018-04-19;2018M04;59;44;8;3
BARCHART;2018-04-18;2018M04;60;70;6;0
BARCHART;2018-04-17;2018M04;57;37;2;0
BARCHART;2018-04-16;2018M04;49;27;5;6
BARCHART;2018-04-15;2018M04;6;13;0;0
BARCHART;2018-04-14;2018M04;17;14;0;0
BARCHART;2018-04-13;2018M04;55;43;2;0
BARCHART;2018-04-12;2018M04;45;29;3;0
BARCHART;2018-04-11;2018M04;83;23;3;0
BARCHART;2018-04-10;2018M04;66;41;5;0
BARCHART;2018-04-09;2018M04;46;18;3;4
BARCHART;2018-04-08;2018M04;6;8;0;0
BARCHART;2018-04-07;2018M04;6;6;0;4
BARCHART;2018-04-06;2018M04;41;21;2;0
BARCHART;2018-04-05;2018M04;53;21;1;3
BARCHART;2018-04-04;2018M04;59;21;1;0
BARCHART;2018-04-03;2018M04;53;12;2;0
BARCHART;2018-04-02;2018M04;11;10;0;0
BARCHART;2018-04-01;2018M04;2;6;0;0
BARCHART;2018-03-31;2018M03;6;3;0;0
BARCHART;2018-03-30;2018M03;27;22;0;0
BARCHART;2018-03-29;2018M03;56;19;2;1
BARCHART;2018-03-28;2018M03;69;19;10;4
BARCHART;2018-03-27;2018M03;60;50;3;0
BARCHART;2018-03-26;2018M03;62;29;4;1
BARCHART;2018-03-25;2018M03;15;10;0;0
BARCHART;2018-03-24;2018M03;11;4;0;0
BARCHART;2018-03-23;2018M03;73;27;2;2
BARCHART;2018-03-22;2018M03;67;23;4;0
BARCHART;2018-03-21;2018M03;108;28;6;1
BARCHART;2018-03-20;2018M03;94;35;3;3
BARCHART;2018-03-19;2018M03;112;13;2;2
BARCHART;2018-03-18;2018M03;11;5;0;0
BARCHART;2018-03-17;2018M03;7;2;0;0
BARCHART;2018-03-16;2018M03;69;25;4;0
BARCHART;2018-03-15;2018M03;64;36;8;2
BARCHART;2018-03-14;2018M03;103;36;1;0
BARCHART;2018-03-13;2018M03;86;40;4;1
BARCHART;2018-03-12;2018M03;56;36;5;2
BARCHART;2018-03-11;2018M03;4;6;0;0
BARCHART;2018-03-10;2018M03;7;8;0;0
BARCHART;2018-03-09;2018M03;69;53;1;0
BARCHART;2018-03-08;2018M03;54;38;5;0
BARCHART;2018-03-07;2018M03;67;31;5;6
BARCHART;2018-03-06;2018M03;65;24;6;0
BARCHART;2018-03-05;2018M03;58;25;3;4
BARCHART;2018-03-04;2018M03;8;13;0;0
BARCHART;2018-03-03;2018M03;7;2;0;0
BARCHART;2018-03-02;2018M03;72;37;2;0
BARCHART;2018-03-01;2018M03;54;30;3;0
BARCHART;2018-02-28;2018M02;62;31;7;1
